name,stationID,聚类簇号,站点类型,日均总客流,周末比,早高峰进站占比,晚高峰进站占比,早高峰出站占比
Boxing Road,639,3,通勤居住站,50917.54885057471,0.6937907142226248,0.18873672831291144,0.03537015332895401,0.052467820186000304
Wulian Road,640,3,通勤居住站,44850.16954022988,0.87357739836399,0.1617252884811048,0.04202469476249309,0.04849202108814604
Dongjing Road,642,2,休闲商圈站,28693.518199233717,0.6750403494386642,0.2150728583444184,0.026029401866664706,0.041550495818290366
Wuzhou Avenue,643,2,休闲商圈站,17932.595785440615,0.9801442248706462,0.14310873581550815,0.04660529733811201,0.06914971982461475
Zhouhai Road,644,2,休闲商圈站,25793.231800766283,0.7677549912177255,0.17160993491706572,0.0437030985090638,0.06211395884920515
South Waigaoqiao Free Trade Zone Station,645,2,休闲商圈站,21362.444444444445,0.44191453299134537,0.10172575355300818,0.10632203654535491,0.1362673746681058
Hangjin Road,646,2,休闲商圈站,26828.733716475093,0.6750846716452972,0.13109799474864814,0.0661341557647001,0.08683194816305168
North Waigaoqiao Free Trade Zone Station,647,2,休闲商圈站,18508.610153256705,0.555196676192785,0.12814829154968319,0.05779046881552925,0.09309779627656292
Gangcheng Road,648,2,休闲商圈站,18513.26915708812,0.7271599940664167,0.18475129701821744,0.030452944935511535,0.051389657306967367
Meilan Lake,721,3,通勤居住站,59412.956896551725,0.8448818530883735,0.1569704449112554,0.03375623665616349,0.05557613189320869
Luonan Xincun,722,2,休闲商圈站,33877.82088122606,0.6941909353303151,0.1840434527967852,0.025494979222900737,0.046993916577495645
Panguang Road,723,1,郊区低频站点,14000.983716475097,0.7694367737115226,0.1768671087150131,0.025735480425513754,0.05462650029429522
Liu Hang,724,2,休闲商圈站,34348.127394636016,0.69858140205523,0.19760042423436983,0.02320108009100084,0.045682531265186135
Gucun Park,725,3,通勤居住站,71727.84961685824,0.721110874531902,0.17553613599551746,0.03508799032197325,0.049319049492289366
Qihua Road,726,2,休闲商圈站,36526.22222222222,0.6750025476408846,0.2099379004276075,0.02214953892042944,0.04039372739120602
Shanghai University,727,3,通勤居住站,57347.55651340996,0.7957852764372316,0.16557183136843256,0.03814853595112016,0.04042730858250085
Nanchen Road,728,2,休闲商圈站,21381.64272030651,0.6800510432942266,0.17915077393553347,0.028296550872912444,0.048425346404610284
Shangda Road,729,2,休闲商圈站,29016.513409961688,0.5984356950926677,0.16573609905209138,0.058684699186882336,0.09913999074712604
Changzhong Road,730,3,通勤居住站,47839.59003831417,0.6975609683145721,0.1687966459758932,0.04092474925026287,0.06573952479220406
Dachang Town,731,2,休闲商圈站,30227.54214559387,0.6463864754623491,0.1519179483074505,0.07251312491062013,0.08976300745032859
Xingzhi Road,732,3,通勤居住站,69000.86877394636,0.6537361855217215,0.16220382930067878,0.05435412581505909,0.0679475603778899
Dahua San Road,733,0,就业办公站,77471.56513409963,0.7129638242421223,0.16471845429069654,0.03972945349199083,0.05600590234062756
Xincun Road,734,0,就业办公站,70098.48467432949,0.7221152785417733,0.13434344686591032,0.05681137271829133,0.07083774281249852
Langao Road,735,3,通勤居住站,51417.351532567045,0.6665243221326657,0.09455153552495058,0.1008485356133161,0.11596801896227958
Changping Road,738,0,就业办公站,81546.28448275862,0.5564634068485009,0.07204823780592759,0.11363645330432601,0.13490035477827925
Houtan,744,1,郊区低频站点,11381.367816091955,0.6036793739330982,0.10647861594667118,0.12040404040400662,0.1446615087040213
Changqing Road,745,3,通勤居住站,49911.72988505747,0.6814979561743052,0.1802814788813401,0.040182735250628134,0.0634488520930468
Yuntai Road,747,2,休闲商圈站,36230.31704980843,0.6692656395580171,0.15830604976183582,0.04551562425093135,0.0790345845706043
South Yanggao Road,749,3,通勤居住站,63556.86685823755,0.6346017445180434,0.18055416369462496,0.04901780468490309,0.074034163144436
Jinxiu Road,750,3,通勤居住站,67794.9377394636,0.7253708608406211,0.1878518799806696,0.041416225190760526,0.06602976875515108
Fanghua Road,751,3,通勤居住站,72334.29214559388,0.6904775815683347,0.1722519669892894,0.03826750839917793,0.07245542798944403
Huamu Road,753,3,通勤居住站,58528.03448275862,0.7274231368914426,0.03521633509892721,0.142209826380051,0.17253380151382153
Shendu Highway,820,0,就业办公站,139906.2327586207,0.7897654512268625,0.17639368811549788,0.029840987380606074,0.05203468570636624
Lianhang Road,821,3,通勤居住站,52033.14655172414,0.5541918595608942,0.1887908408215651,0.050508218455526124,0.06966594641049303
Jiangyue Road,822,3,通勤居住站,60813.43869731801,0.6154527088231402,0.150736890431074,0.06028378484786888,0.0736768977304501
Pujiang Town,823,3,通勤居住站,44351.708812260535,0.6111139874883158,0.12963902961214735,0.0854936704941122,0.10665690174363378
Luheng Road,824,3,通勤居住站,79414.24137931035,0.6794838916064443,0.19778898503068673,0.030356228548197414,0.04499716334501254
Lingzhao Xincun,825,2,休闲商圈站,25307.380268199235,0.7324438371700207,0.16696248316971235,0.043622899898295736,0.05866862244378558
Yangsi,827,3,通勤居住站,71315.2816091954,0.6907456342459658,0.18952488996106565,0.038393093246762454,0.05823033401111801
Chengshan Road,828,0,就业办公站,80233.43390804599,0.7928918194324438,0.16875244236779477,0.03753610948499825,0.06032403061151926
China Art Museum,830,2,休闲商圈站,48791.85440613027,1.804135120715217,0.047486658441711044,0.08553642942089008,0.09987383467151176
Great World,834,0,就业办公站,119755.70306513409,0.7271686933501585,0.04069848220484297,0.13261042963147146,0.14307957816369635
Zhongxing Road,837,3,通勤居住站,60841.56513409962,0.7465331155177953,0.12390582218051013,0.06519601595677217,0.07788118175936587
North Xizang Road,838,0,就业办公站,77648.16187739462,0.6908575277194098,0.12829987960861736,0.06575307324926,0.09267817606896564
Quyang Road,840,3,通勤居住站,68629.95881226053,0.7433698603205284,0.15744833476391884,0.05146557540880576,0.07116711335026343
Anshan Xincun,842,3,通勤居住站,52943.32950191571,0.8266260896899765,0.13581198990336327,0.058314779566465975,0.07243200559093381
Jiangpu Road,843,0,就业办公站,82383.46168582376,0.7454178494785481,0.09838952333974212,0.06615548101102614,0.09155066628295704
Huangxing Road,844,3,通勤居住站,61021.86685823755,0.761389076621225,0.150169378579898,0.04817855056478398,0.0674197893218543
Middle Yanji Road,845,3,通勤居住站,61323.03831417624,0.7505288670291247,0.16956624646525667,0.03958683146026918,0.06130062463078772
Huangxing Park,846,2,休闲商圈站,30327.65421455939,0.7371322908148911,0.14070622289328916,0.05647610449445382,0.08135655140420563
